from,date,count
cade,10/16/2021,4
cade,10/20/2021,5
cade,10/27/2021,2
cade,11/04/2021,2
cade,11/05/2021,2
cade,11/07/2021,8
jake,10/14/2021,3
jake,10/15/2021,4
jake,10/16/2021,3
jake,10/17/2021,1
jake,10/18/2021,1
jake,10/20/2021,3
jake,10/22/2021,4
jake,10/27/2021,8
jake,10/31/2021,6
jake,11/01/2021,2
jake,11/03/2021,4
jake,11/05/2021,1
jake,11/07/2021,3
jake,11/08/2021,3
jake,11/09/2021,5
jake,11/16/2021,9
jake,11/17/2021,7
jake,11/18/2021,19
will,10/14/2021,3
will,10/15/2021,4
will,10/16/2021,7
will,10/17/2021,1
will,10/18/2021,3
will,10/20/2021,5
will,10/22/2021,2
will,10/27/2021,5
will,10/28/2021,1
will,10/31/2021,16
will,11/01/2021,2
will,11/03/2021,6
will,11/04/2021,1
will,11/05/2021,1
will,11/07/2021,8
will,11/08/2021,7
will,11/09/2021,8
will,11/13/2021,1
will,11/16/2021,11
will,11/17/2021,7
will,11/18/2021,21
will,11/19/2021,12
jake,11/19/2021,10
will,11/21/2021,2
jake,11/21/2021,1
will,11/23/2021,3
jake,11/23/2021,1
will,11/24/2021,3
jake,11/24/2021,1
jake,11/26/2021,1
will,11/26/2021,1
will,11/29/2021,10
jake,11/29/2021,8
will,11/30/2021,7
jake,11/30/2021,7
